# Design Points of Design of Experiments
# Latin Hypercube Sampling Design : User-Defined Samples : Random Generator Seed = 0 : Number of Samples = 30
# ,P12 - rotor_OD (mm) ,P14 - rotor_thickness (mm) ,P15 - rotor_ID (mm) ,P4 - Equivalent Stress Maximum (Pa) ,P5 - Temperature Maximum (C) ,P6 - Total Deformation Reported Frequency (Hz) ,P7 - Geometry Volume (m^3) 
Name,P12,P14,P15,P4,P5,P6,P7
1,131.75,24.75,70.333333333333329,11726429.564300846,329.87557983398438,1539.9901137075703,0.0011960405115328441
2,134.25,25.75,79.666666666666671,12314466.101230552,330.24716186523438,1420.0498498841689,0.00120782682905464
3,125.25,20.75,81,11167311.545617899,343.82125854492188,1431.9396544050624,0.00086303583540929942
4,132.75,27.75,86.333333333333329,13406421.737767532,326.18423461914063,1347.1332476192611,0.0011745113734273338
5,126.25,18.75,75,11445098.285526408,356.77288818359375,1506.9821074779811,0.00085434147774049
6,138.75,15.25,89.666666666666657,,,,
7,132.25,28.75,77.666666666666671,12026348.610708995,324.83108520507813,1516.9498737154131,0.0012910112937831765
8,138.25,28.25,87.666666666666657,19144584.767026909,323.29608154296875,1274.3933923953698,0.0013072871762814168
9,128.75,22.25,75.666666666666671,11753401.720511854,339.8885498046875,1516.2423095119448,0.0010076017518763007
10,127.75,29.75,85,12365019.84029931,321.63909912109375,1452.6571829795246,0.0011329675630415005
11,129.75,21.75,83,12360208.834442917,340.06576538085938,1366.903956030844,0.00095505524407789376
12,127.25,19.75,73,11427079.98367542,350.41323852539063,1525.0080391660097,0.00091398991570649493
13,131.25,22.75,87,13264787.578393871,339.7615966796875,1279.6646876998338,0.000980761915014515
14,135.25,15.75,76.333333333333329,11346611.210493099,390.45172119140625,1301.1985567751271,0.00086823672023070221
15,129.25,27.25,80.333333333333329,12469710.961391704,325.93008422851563,1493.4559082216842,0.0011433379494826929
16,137.25,21.25,79,12128484.35119931,343.21261596679688,1323.2943340131267,0.0011017993314513844
17,136.75,26.75,73.666666666666671,11880510.49971316,326.05783081054688,1460.9968651109434,0.0013577103601450789
18,133.75,20.25,72.333333333333329,11841863.096974121,347.45025634765625,1412.353408665718,0.0010428898658906738
19,126.75,18.25,78.333333333333329,12029293.090745926,362.2122802734375,1441.5914437673739,0.00082778257343842782
20,125.75,17.75,85.666666666666657,11838813.721754769,360.49139404296875,1292.1757401920402,0.00075799544148943293
21,130.75,16.25,89,18806341.853525545,382.01956176757813,1181.9366253006765,0.00076662182949218532
22,137.75,23.75,84.333333333333329,11722692.131950038,333.19705200195313,1263.2130123777815,0.0011655433917650429
23,139.25,26.25,77,11370635.180337107,325.8780517578125,1378.8056645085037,0.0013638994612972682
24,128.25,24.25,82.333333333333329,12209562.542048763,332.17202758789063,1423.8722364352436,0.0010096210978208587
25,135.75,16.75,88.333333333333329,19334793.854311414,379.87472534179688,1161.4963075725179,0.0008547825660757001
26,133.25,19.25,71,11688800.81942953,354.52554321289063,1384.9057746811509,0.0010021429073914542
27,136.25,25.25,81.666666666666657,12556248.660059,328.91836547851563,1354.8024677565911,0.0012140726534075191
28,134.75,23.25,74.333333333333329,11787330.315046171,333.07177734375,1438.7483257080467,0.0011671717294156145
29,139.75,17.25,71.666666666666671,11785044.365677826,374.06826782226563,1202.1499441861481,0.0010154922327082578
30,130.25,29.25,83.666666666666671,12279091.507764727,323.7674560546875,1448.5636434162745,0.0011936179181729211
